question,reviews,next_due
"Given $w = 7.0$, $\frac{dL}{dw} = -6$, and $\eta = 0.2$, what are optimizer $\Delta w$ and new $w$?",,0
Batch size `32 -> 4096` with the same optimizer and learning rate: why might training be less noisy but slower per epoch?,,0
"With **mean reduction**, batch size `32 -> 4096`: what happens to gradient noise vs expected gradient scale?",,0
"If batch size is `100` and the sum-reduction gradient is `500`, what is the mean-reduction gradient?",,0
"If `CrossEntropyLoss(reduction=""mean"")` becomes `reduction=""sum""` with the same batch and learning rate, what happens to effective update size, and what symptom might appear?",,0
"With batch size `32 -> 128`, `reduction=""mean""`, and same learning rate, is each step automatically `4x` larger, `4x` smaller, or neither? Why?",,0
"With batch size `32 -> 512`, `reduction=""mean""`, and learning rate `1e-3`, name one improvement and one thing to watch or retune.",,0
"Same dataset and epochs: when batch size goes `32 -> 512`, what happens to optimizer updates per epoch?",,0
"With logits `(64, 10)` and targets `(64,)`, what do one logits row and one target integer represent?",,0
"After `softmax`, probabilities `[0.1, 0.7, 0.2]` with target index `1`: which number does cross-entropy take `-log` of?",,0
"Probabilities `[0.92, 0.05, 0.03]`, target index `1`: small or large cross-entropy loss, and why?",,0
"In PyTorch, why pass raw logits directly to `CrossEntropyLoss` instead of applying `softmax` first?",,0
"If a classifier outputs `(64, 10)`, applies `softmax`, then calls `CrossEntropyLoss`, what is the bug and fix?",,0
"Why is passing softmax probabilities to `CrossEntropyLoss` the wrong API usage, *not just* redundant?",,0
"For logits `[2, 1, -1]` and target `0`, is `logsumexp(logits)` bigger than largest logit `2`, and why?",,0
"For logits `[2, -100, -100]`, target `0`: is cross-entropy near `0` or large? Why?",,0
"For logits `[4, -2, 0]`, target index `2`: what is `target_logit` in `logsumexp(logits) - target_logit`?",,0
"For logits `[4, -2, 0]`, target `2`: is cross-entropy closer to `0`, `4`, or `100`? Use `logsumexp - target_logit`.",,0
"Why can naive `log(exp(1000) + exp(999))` overflow, and how does subtracting the max change the exponentials?",,0
"Since `ln(1) = 0` and `ln(e) ~= 1`, is `ln(1.1)` closer to `0` or `1`?",,0
"Using the same anchors, is `ln(1.368)` closer to `0` or `1`, and why?",,0
"Why is `logsumexp([1000, 999])` about `1000.313`, not about `1001`?",,0
"For shifted logits `[0, -1]`, why is the correction `ln(exp(0) + exp(-1))` less than `ln(2)`?",,0
"Since `exp(-1) = 1 / exp(1)` and `exp(1) = e ~= 2.718`, is `exp(-1)` about `0`, `0.37`, or `2.7`?",,0
Directed recall: approximately what is `exp(1)`?,,0
Directed recall: complete `exp(-a) = ?`,,0
Is `exp(-3)` exactly zero or a small positive number? Use the reciprocal rule.,,0
"If you factor `x^10` out of `x^3`, what leftover factor makes `x^10 * leftover = x^3`?",,0
"If you factor `exp(1000)` out of `exp(100)`, what leftover factor makes `exp(1000) * leftover = exp(100)`?",,0
Fill in: `exp(1000) + exp(100) = exp(1000) * (exp(0) + ___)`.,,0
Why does `ln(exp(1000) * (exp(0) + exp(-900)))` become `1000 + ln(exp(0) + exp(-900))`?,,0
"For logits `[1000, 100]`, what fails in naive softmax at `exp(1000)`, and how does subtracting the max fix it?",,0
"For one-hot target `[0, 1, 0]` and probabilities `[0.2, 0.7, 0.1]`, which terms remain in `-sum target_i * log(prob_i)`?",,0
Substitute `p_target = exp(logit_1) / sum_j exp(logit_j)` into `CE = -ln(p_target)`. What expression results?,,0
"If `A = ln(exp(logit_i))` and `B = ln(sum_j exp(logit_j))`, what is `-(A - B)`?",,0
Simplify `-ln(exp(logit_i)) + ln(sum_j exp(logit_j))` using `ln(exp(x)) = x` and `logsumexp`.,,0
Why does one-hot cross-entropy reduce to `logsumexp(logits) - target_logit`?,,0
"Complete: one-hot CE is `-ln(p_target)` and `p_target = exp(target_logit) / sum_j exp(logit_j)`, so CE simplifies to what?",,0
Sign check: is `ln(sum_j exp(logit_j))` shorthand for `logsumexp(logits)` or `-logsumexp(logits)`?,,0
Derive `CE = logsumexp(logits) - target_logit` from `CE = -ln(p_target)` and softmax.,,0
"Directed recall: what are `exp(1)`, `exp(-a)`, `ln(1)`, and `ln(exp(x))`?",,0
"For `output = input @ W + b`, what weight shape maps `(batch, 20)` to `(batch, 5)`?",,0
"With input `(32, 20)`, `W` `(20, 5)`, and `b` `(5,)`, what are the shapes of `input @ W` and broadcasted `b`?",,0
"For `(32, 20) @ (10, 5)`, what dimension mismatch causes the error?",,0
"In `(32, 20) @ (10, 5)`, which dimensions must match, and what are their actual values?",,0
"If `(32, 20) @ (20, 5)` is valid, which dimensions survive in the output?",,0
"For logits `(32, 5)` with one-hot targets `(32, 5)`, what target shape should PyTorch `CrossEntropyLoss` use in class-index mode, and what does each value mean?",,0
"With logits `(16, 3)`, targets `(16,)`, and `CrossEntropyLoss(reduction=""none"")`, what is the unreduced loss shape, and what does each element represent?",,0
"If unreduced loss `(16,)` uses `reduction=""mean""`, what is the final loss shape, and why is a scalar convenient for backprop?",,0
"In PyTorch, should `optimizer.step()` run before or after `loss.backward()`, and why?",,0
What goes wrong if you forget `optimizer.zero_grad()` before the next backward pass?,,0
"When would you intentionally not call `optimizer.step()` after every `backward()`, and what technique is that?",,0
"To get effective batch size `128` with micro-batches of `32`, how many micro-batches do you accumulate before one optimizer step?",,0
"If each micro-batch loss is a mean over `32` examples and you accumulate `4` micro-batches, why divide each loss by `4` before `backward()`?",,0
"Validation loss is computed without `torch.no_grad()`, but never backpropagated. What is the main problem?",,0
"If $\frac{dL}{dw} = -12$ and you manually nudge $w$ by $+0.04$, what is approximate $\Delta L$, and is this an optimizer update?",,0
"Same gradient $\frac{dL}{dw} = -12$: with learning rate `0.04`, what $\Delta w$ does gradient descent apply?",,0
"If full-batch gradient is exact for training loss, why might mini-batches still train better or faster?",,0
How can **mini-batch gradient noise** help optimization or generalization vs deterministic full-batch gradient?,,0
Why might **mini-batch noise** make a flat minimum easier to stay in than a sharp one?,,0
"If the full-dataset gradient points downhill, why can a mini-batch gradient point partly sideways?",,0
"In `[downhill=1.0, sideways=0.3]` vs full gradient `[downhill=1.0, sideways=0.0]`, which component is signal and which is stochastic noise?",,0
"With logits `(32, 5)` and `target[0] = 2`, which logit is the true-class logit for example `0`?",,0
"For `logits[0] = [1.2, -0.4, 3.0, 0.7, -2.1]` and `target[0] = 2`, what is the true-class logit, and why is it *not* a probability?",,0
"For `logits[0] = [1.2, -0.4, 3.0, 0.7, -2.1]` and `target[0] = 2`, what is the true-class logit?",,0
"Why is `3.0` a **logit**, not a probability?",,0
What two constraints must class probabilities satisfy that raw logits do not?,,0
What operation converts **logits** to class probabilities?,,0
Why is applying `softmax` before PyTorch `CrossEntropyLoss` a mistake?,,0
"For logits `(64, 10)`, what target shape does PyTorch `CrossEntropyLoss` expect in class-index mode?",,0
"If a batch has `64` examples, how many class-index target values should it contain?",,0
"Therefore, for logits `(64, 10)`, what is the class-index target tensor shape?",,0
"During validation, what does `model.eval()` solve that `torch.no_grad()` does not?",,0
Sign check: simplify `CE = -ln(exp(target_logit) / sum_j exp(logit_j))`.,,0
What is `ln(A / B)` in terms of `ln(A)` and `ln(B)`?,,0
What is `-ln(A / B)`?,,0
"In attention, after query-key scores choose weights over positions, what do **value vectors** provide?",,0
"With logits `(16, 3)`, targets `(16,)`, and `CrossEntropyLoss(reduction=""none"")`, what shape is unreduced loss?",,0
"Why does unreduced cross-entropy for logits `(16, 3)` and targets `(16,)` return `(16,)`, not `(16, 3)`?",,0
"For one row of `3` logits and one target class index, how many loss scalars does cross-entropy produce?",,0
"If `16` examples each produce one loss scalar, what is the unreduced loss shape?",,0
"If shifting an image right shifts the convolutional feature map right, is that translation equivariance or invariance?",,0
"If a classifier gives the same score whether the object is left or right, is that closer to translation equivariance or invariance?",,0
"In one sentence, how do **translation equivariance** and **translation invariance** differ?",,0
"In attention, after query-key scores become weights, how do **value vectors** produce the output?",,0
"In `output = attention_weights @ V`, what is multiplied by the attention weights?",,0
Does each row of `V` represent content for one token or for a pair of tokens?,,0
"For one query with attention weights `[0.1, 0.7, 0.2]`, what combination of the three value vectors forms the output?",,0
"If tensors `x` and `y` have the same shape, what is the shape of `x + y`?",,0
"If `x` has shape `(4, 5)`, what shape does `x * 3.0` have?",,0
"If `x` has shape `(2, 3, 4)`, what shape does `torch.relu(x)` have?",,0
Why do **elementwise operations** usually preserve tensor shape?,,0
"If `h` has shape `(4, 3)` and bias `b` has shape `(3,)`, what shape is `h + b`?",,0
"In `h + b` with `h` `(4, 3)` and `b` `(3,)`, is `b` reused across batch or feature axis?",,0
"If `b = [b1, b2, b3]`, does each row of `h` receive the same three bias values, or does each column receive one bias repeated down the batch?",,0
"In `h + b` with `h` `(4, 3)` and `b` `(3,)`, which axis is `b` repeated across?",,0
"If `b` has one value per feature column, is it aligned with the feature axis or repeated across it?",,0
